time,road_id,vehicle_count,average_speed
9000,j7tj3_2,0,0
9000,j7tj6_0,0,0
9000,j7tj6_1,5,3.85317477519977e-270
9000,j7tj6_2,1,0.0
9000,j7tj8_0,0,0
9000,j7tj8_1,0,0
9000,j7tj8_2,0,0
9000,j8tj7_0,0,0
9000,j8tj7_1,1,0.0
9000,j8tj7_2,0,0
9000,j9tj10_0,0,0
9000,j9tj10_1,1,11.638798898240656
9000,j9tj10_2,0,0
12000,j10tj11_0,0,0
12000,j10tj11_1,1,0.0
12000,j10tj11_2,0,0
12000,j10tj14_0,0,0
12000,j10tj14_1,0,0
12000,j10tj14_2,0,0
12000,j10tj5_0,0,0
12000,j10tj5_1,0,0
12000,j10tj5_2,1,0.0
12000,j10tj9_0,0,0
12000,j10tj9_1,0,0
12000,j10tj9_2,0,0
12000,j11tj10_0,0,0
12000,j11tj10_1,2,0.0
12000,j11tj10_2,0,0
12000,j11tj12_0,0,0
12000,j11tj12_1,2,7.682084606116613
12000,j11tj12_2,0,0
12000,j11tj15_0,1,14.360999360498033
12000,j11tj15_1,0,0
12000,j11tj15_2,0,0
12000,j11tj6_0,1,9.984873100791829
12000,j11tj6_1,4,5.652186086130326
12000,j11tj6_2,0,0
12000,j12tj11_0,1,12.093353678881984
12000,j12tj11_1,6,5.333506420792179
12000,j12tj11_2,1,14.798199137262658
12000,j12tj13_0,3,14.69482174544825
12000,j12tj13_1,0,0
12000,j12tj13_2,0,0
12000,j12tj16_0,0,0
12000,j12tj16_1,0,0
12000,j12tj16_2,0,0
12000,j12tj7_0,0,0
12000,j12tj7_1,0,0
12000,j12tj7_2,0,0
12000,j13tj12_0,0,0
12000,j13tj12_1,3,7.857485251325099
12000,j13tj12_2,0,0
12000,j14tj10_0,0,0
12000,j14tj10_1,1,13.959899359084368
12000,j14tj10_2,0,0
12000,j15tj11_0,0,0
12000,j15tj11_1,0,0
12000,j15tj11_2,1,0.0
12000,j16tj12_0,0,0
12000,j16tj12_1,2,1.913366463905747e-68
12000,j16tj12_2,2,13.746960887669278
12000,j1tj5_0,0,0
12000,j1tj5_1,2,1.5631526293135764e-09
12000,j1tj5_2,2,6.796774254370689
12000,j2tj6_0,0,0
12000,j2tj6_1,2,6.701268005508608
12000,j2tj6_2,0,0
12000,j3tj7_0,3,12.96051110877979
12000,j3tj7_1,2,1.2715075631528942e-05
12000,j3tj7_2,0,0
12000,j4tj5_0,0,0
12000,j4tj5_1,0,0
12000,j4tj5_2,0,0
12000,j5tj10_0,0,0
12000,j5tj10_1,0,0
12000,j5tj10_2,0,0
12000,j5tj1_0,0,0
12000,j5tj1_1,0,0
12000,j5tj1_2,0,0
