vehicle_id,Travel_time
HDV_487,263.79999999999757
HDV_411,308.9999999999951
CAV_308,371.9999999999918
HDV_171,452.9999999999889
CAV_374,334.7999999999944
CAV_434,299.1999999999965
CAV_220,427.3999999999893
CAV_110,493.5999999999901
CAV_466,281.5999999999982
CAV_158,469.7999999999905
CAV_336,362.99999999999454
CAV_124,493.59999999999167
HDV_479,281.80000000000024
HDV_485,274.4000000000008
HDV_483,280.2000000000007
CAV_492,271.80000000000155
HDV_245,430.19999999999425
HDV_301,400.59999999999684
HDV_217,452.19999999999436
CAV_310,396.19999999999754
CAV_226,447.3999999999951
CAV_218,454.3999999999952
HDV_331,393.2000000000003
HDV_309,406.5999999999997
HDV_377,365.60000000000196
CAV_396,355.200000000003
HDV_305,424.6000000000032
CAV_212,482.40000000000043
CAV_360,395.60000000000593
CAV_80,566.8000000000028
HDV_87,561.4000000000027
CAV_238,472.60000000000275
CAV_242,470.8000000000029
CAV_244,469.8000000000029
HDV_421,363.20000000000914
CAV_456,344.20000000001073
CAV_248,469.6000000000038
CAV_430,364.4000000000108
CAV_106,559.6000000000043
HDV_295,445.40000000000657
CAV_494,322.2000000000137
CAV_302,444.40000000000714
CAV_88,572.8000000000052
HDV_469,343.600000000013
HDV_389,395.4000000000108
CAV_122,555.0000000000057
HDV_307,450.4000000000093
CAV_262,477.600000000008
HDV_325,440.8000000000103
CAV_344,429.00000000001137
HDV_159,545.4000000000079
CAV_148,554.8000000000086
HDV_165,544.8000000000086
HDV_467,364.40000000001703
CAV_322,452.2000000000123
HDV_441,380.4000000000164
HDV_93,591.0000000000098
HDV_125,570.4000000000096
CAV_394,413.80000000001576
HDV_495,361.20000000002113
HDV_259,506.40000000001385
CAV_184,554.4000000000132
HDV_453,393.6000000000214
HDV_227,533.0000000000152
HDV_213,547.2000000000154
CAV_234,535.8000000000166
CAV_252,527.4000000000175
CAV_320,486.6000000000198
HDV_459,404.000000000025
CAV_368,460.4000000000225
HDV_211,557.8000000000173
CAV_388,451.4000000000235
CAV_230,547.4000000000183
HDV_163,590.4000000000186
HDV_249,540.2000000000198
CAV_182,579.600000000019
HDV_379,463.00000000002444
HDV_493,395.00000000002854
HDV_391,456.00000000002524
HDV_341,487.00000000002365
CAV_370,470.80000000002474
CAV_298,515.0000000000226
CAV_256,541.0000000000211
HDV_191,582.0000000000203
CAV_432,438.4000000000279
HDV_477,420.00000000003143
HDV_261,551.2000000000244
HDV_337,506.6000000000272
CAV_142,626.2000000000241
CAV_454,439.60000000003186
HDV_319,522.4000000000277
CAV_114,646.8000000000252
HDV_231,580.4000000000258
CAV_146,632.6000000000262
HDV_297,543.2000000000287
CAV_166,631.6000000000283
HDV_185,627.40000000003
HDV_475,455.00000000003905
CAV_258,586.4000000000322
CAV_150,652.4000000000312
CAV_266,585.800000000033
CAV_160,651.2000000000323
HDV_481,460.0000000000413
CAV_268,588.8000000000343
CAV_208,624.2000000000326
CAV_330,553.2000000000367
CAV_270,589.2000000000346
CAV_210,625.400000000033
HDV_265,599.2000000000364
HDV_289,588.0000000000375
HDV_413,513.2000000000418
CAV_162,664.2000000000354
CAV_332,563.0000000000393
HDV_463,483.2000000000439
HDV_489,471.00000000004496
HDV_409,522.6000000000431
CAV_254,616.0000000000382
HDV_383,539.2000000000427
CAV_438,507.4000000000447
CAV_412,523.400000000044
CAV_130,694.2000000000382
CAV_428,520.200000000046
HDV_407,535.4000000000457
HDV_225,647.6000000000403
CAV_386,551.0000000000462
HDV_161,688.6000000000407
CAV_460,507.6000000000489
HDV_147,697.8000000000411
CAV_498,489.40000000005085
HDV_239,665.8000000000468
CAV_486,518.0000000000554
CAV_306,627.2000000000494
CAV_260,655.0000000000479
CAV_132,732.8000000000471
CAV_274,650.8000000000492
HDV_437,553.800000000055
CAV_304,636.6000000000511
HDV_363,604.0000000000539
CAV_404,578.2000000000556
HDV_313,639.6000000000535
CAV_496,532.0000000000603
CAV_334,641.8000000000574
CAV_342,640.6000000000586
HDV_401,608.0000000000614
CAV_452,579.6000000000633
CAV_464,574.0000000000641
CAV_232,718.0000000000579
CAV_422,611.0000000000659
HDV_351,658.4000000000643
CAV_410,624.2000000000675
CAV_296,697.4000000000635
CAV_436,615.6000000000691
CAV_236,738.8000000000627
CAV_282,712.2000000000646
CAV_470,602.2000000000717
HDV_357,673.6000000000686
HDV_365,669.0000000000691
HDV_361,683.4000000000718
HDV_287,729.4000000000693
HDV_193,786.4000000000672
HDV_461,626.0000000000757
HDV_321,714.6000000000716
CAV_170,808.8000000000693
HDV_283,746.4000000000726
CAV_292,742.8000000000733
CAV_294,744.000000000074
HDV_339,724.8000000000773
CAV_424,676.400000000081
HDV_447,670.6000000000832
CAV_472,657.2000000000844
CAV_474,658.200000000085
CAV_350,732.4000000000808
CAV_484,651.0000000000857
CAV_400,706.2000000000834
HDV_381,720.0000000000834
CAV_408,703.2000000000847
HDV_429,695.0000000000858
HDV_375,735.2000000000858
HDV_445,708.0000000000914
HDV_439,717.2000000000924
CAV_444,745.6000000000997
CAV_240,865.800000000093
HDV_247,865.2000000000934
CAV_382,785.6000000000984
CAV_384,785.2000000000985
CAV_246,868.000000000094
CAV_364,798.200000000098
CAV_348,808.800000000098
HDV_241,887.2000000000971
CAV_380,804.6000000001022
CAV_468,752.8000000001055
HDV_471,762.2000000001083
HDV_201,931.2000000001012
CAV_398,834.2000000001121
CAV_180,968.0000000001066
CAV_186,966.4000000001074
HDV_279,914.0000000001098
HDV_451,811.8000000001165
HDV_199,977.2000000001111
CAV_202,984.4000000001139
CAV_450,846.0000000001236
HDV_275,959.6000000001196
CAV_390,905.6000000001269
CAV_488,910.400000000146
HDV_393,980.6000000001445
CAV_476,932.2000000001477
CAV_480,956.8000000001539
HDV_499,950.4000000001558
HDV_267,1121.0000000001548
CAV_440,1019.6000000001613
CAV_224,1173.0000000001594
HDV_257,1159.200000000162
CAV_482,1050.6000000001754
HDV_327,1156.000000000173
CAV_356,1223.4000000001938
